MIA,MIA vs. NYK,10/24/2018,W,48,110,39,82,47.6,13,29,44.8,19,28,67.9,4,47,51,24,13,7,5,15,23
MIN,MIN @ TOR,10/24/2018,L,48,105,40,96,41.7,15,30,50,10,16,62.5,16,28,44,25,16,10,5,17,-7
PHI,PHI @ MIL,10/24/2018,L,48,108,38,92,41.3,11,34,32.4,21,30,70,8,42,50,29,16,4,5,27,-15
WAS,WAS @ GSW,10/24/2018,L,48,122,42,93,45.2,12,42,28.6,26,28,92.9,7,27,34,22,12,7,1,24,-22
IND,IND @ SAS,10/24/2018,W,48,116,46,87,52.9,17,32,53.1,7,8,87.5,5,35,40,34,10,9,5,22,20
PHX,PHX vs. LAL,10/24/2018,L,48,113,44,84,52.4,10,31,32.3,15,21,71.4,9,35,44,27,20,4,4,23,-18
SAS,SAS vs. IND,10/24/2018,L,48,96,35,87,40.2,6,19,31.6,20,21,95.2,15,31,46,16,13,3,3,16,-20
CHI,CHI vs. CHA,10/24/2018,W,48,112,37,77,48.1,10,29,34.5,28,35,80,9,36,45,21,14,4,5,24,2
MEM,MEM @ SAC,10/24/2018,L,48,92,36,94,38.3,10,37,27,10,13,76.9,13,36,49,18,15,7,6,25,-5
CHA,CHA @ CHI,10/24/2018,L,48,110,37,85,43.5,10,35,28.6,26,29,89.7,8,28,36,23,8,5,5,20,-2
DAL,DAL @ ATL,10/24/2018,L,48,104,38,91,41.8,12,40,30,16,26,61.5,9,43,52,25,17,7,9,27,-7
HOU,HOU vs. UTA,10/24/2018,L,48,89,35,87,40.2,11,40,27.5,8,14,57.1,10,25,35,16,17,12,5,23,-11
MIL,MIL vs. PHI,10/24/2018,W,48,123,41,100,41,13,43,30.2,28,30,93.3,9,42,51,24,11,7,10,27,15
SAC,SAC @ DEN,10/23/2018,L,48,112,45,86,52.3,13,31,41.9,9,20,45,9,30,39,29,16,7,6,17,-14
DEN,DEN vs. SAC,10/23/2018,W,48,126,51,99,51.5,11,30,36.7,13,15,86.7,15,34,49,31,12,11,3,22,14
LAC,LAC @ NOP,10/23/2018,L,48,109,41,87,47.1,5,20,25,22,27,81.5,9,38,47,18,17,5,4,26,-7
DET,DET vs. PHI,10/23/2018,W,53,133,51,108,47.2,12,33,36.4,19,27,70.4,12,34,46,22,8,4,4,24,1
PHI,PHI @ DET,10/23/2018,L,53,132,49,98,50,14,43,32.6,20,28,71.4,8,40,48,32,11,3,8,24,-1
NOP,NOP vs. LAC,10/23/2018,W,48,116,40,93,43,6,24,25,30,40,75,12,36,48,22,8,12,8,24,7
MEM,MEM @ UTA,10/22/2018,W,48,92,31,84,36.9,9,28,32.1,21,26,80.8,7,36,43,18,11,10,2,22,8
POR,POR vs. WAS,10/22/2018,L,53,124,43,108,39.8,11,39,28.2,27,31,87.1,17,53,70,22,20,6,4,22,-1
PHX,PHX @ GSW,10/22/2018,L,48,103,39,86,45.3,9,34,26.5,16,18,88.9,12,33,45,24,21,8,1,21,-20
ORL,ORL @ BOS,10/22/2018,W,48,93,38,93,40.9,10,35,28.6,7,10,70,8,41,49,28,9,6,2,15,3
LAL,LAL vs. SAS,10/22/2018,L,53,142,55,107,51.4,14,39,35.9,18,26,69.2,13,39,52,33,15,5,6,29,-1
SAS,SAS @ LAL,10/22/2018,W,53,143,50,97,51.5,15,28,53.6,28,38,73.7,10,37,47,32,9,9,3,26,1
CHA,CHA @ TOR,10/22/2018,L,48,106,41,97,42.3,9,28,32.1,15,18,83.3,14,27,41,21,12,5,5,14,-21
CHI,CHI @ DAL,10/22/2018,L,48,109,41,80,51.3,13,23,56.5,14,21,66.7,7,27,34,18,19,6,4,29,-6
MIL,MIL vs. NYK,10/22/2018,W,48,124,45,96,46.9,17,40,42.5,17,24,70.8,19,36,55,27,15,5,9,18,11
WAS,WAS @ POR,10/22/2018,W,53,125,46,110,41.8,15,37,40.5,18,26,69.2,12,42,54,23,10,6,7,27,1
MIN,MIN vs. IND,10/22/2018,W,48,101,36,85,42.4,7,33,21.2,22,24,91.7,8,39,47,24,15,9,12,17,10
IND,IND @ MIN,10/22/2018,L,48,91,36,92,39.1,8,26,30.8,11,16,68.8,12,33,45,18,15,6,6,24,-10
TOR,TOR vs. CHA,10/22/2018,W,48,127,50,87,57.5,15,39,38.5,12,14,85.7,5,41,46,36,15,10,8,21,21
BOS,BOS vs. ORL,10/22/2018,L,48,90,37,91,40.7,9,40,22.5,7,9,77.8,9,42,51,21,12,6,3,15,-3
DAL,DAL vs. CHI,10/22/2018,W,48,115,40,93,43,15,47,31.9,20,21,95.2,13,28,41,25,16,8,2,16,6
GSW,GSW vs. PHX,10/22/2018,W,48,123,45,88,51.1,14,37,37.8,19,26,73.1,7,33,40,35,14,12,4,24,20
UTA,UTA vs. MEM,10/22/2018,L,48,84,29,82,35.4,8,32,25,18,23,78.3,10,40,50,18,15,6,6,22,-8
NYK,NYK @ MIL,10/22/2018,L,48,113,45,99,45.5,10,29,34.5,13,15,86.7,11,32,43,22,12,6,2,21,-11
HOU,HOU @ LAC,10/21/2018,L,48,112,43,89,48.3,15,35,42.9,11,15,73.3,6,29,35,28,12,6,6,23,-3
DEN,DEN vs. GSW,10/21/2018,W,48,100,35,86,40.7,6,32,18.8,24,42,57.1,13,34,47,21,10,11,4,22,2
CLE,CLE vs. ATL,10/21/2018,L,48,111,46,99,46.5,10,27,37,9,14,64.3,15,34,49,23,18,5,2,25,-22
OKC,OKC vs. SAC,10/21/2018,L,48,120,46,104,44.2,9,39,23.1,19,30,63.3,18,33,51,23,18,11,9,29,-11
LAC,LAC vs. HOU,10/21/2018,W,48,115,42,89,47.2,5,25,20,26,26,100,12,37,49,22,13,8,7,16,3
ATL,ATL @ CLE,10/21/2018,W,48,133,48,98,49,22,47,46.8,15,19,78.9,9,35,44,32,12,9,7,21,22
GSW,GSW @ DEN,10/21/2018,L,48,98,36,79,45.6,7,29,24.1,19,24,79.2,6,34,40,22,19,4,6,29,-2
SAC,SAC @ OKC,10/21/2018,W,48,131,50,91,54.9,10,22,45.5,21,28,75,12,34,46,28,20,11,7,26,11
PHI,PHI vs. ORL,10/20/2018,W,48,116,45,94,47.9,17,33,51.5,9,10,90,13,33,46,33,10,8,3,21,1
DEN,DEN vs. PHX,10/20/2018,W,48,119,43,85,50.6,9,28,32.1,24,29,82.8,9,45,54,28,18,12,6,31,28
BOS,BOS @ NYK,10/20/2018,W,48,103,33,82,40.2,9,25,36,28,33,84.8,11,36,47,21,15,8,2,26,2
HOU,HOU @ LAL,10/20/2018,W,48,124,44,96,45.8,16,42,38.1,20,30,66.7,13,41,54,22,18,7,4,21,9
BKN,BKN @ IND,10/20/2018,L,48,112,41,86,47.7,16,37,43.2,14,22,63.6,9,31,40,25,20,6,6,18,-20
LAL,LAL vs. HOU,10/20/2018,L,48,115,48,100,48,8,32,25,11,18,61.1,9,35,44,28,11,8,10,21,-9
CHA,CHA @ MIA,10/20/2018,W,48,113,41,93,44.1,16,42,38.1,15,23,65.2,12,28,40,23,12,6,12,27,1
PHX,PHX @ DEN,10/20/2018,L,48,91,29,77,37.7,11,39,28.2,22,35,62.9,10,30,40,20,19,6,4,26,-28
MIN,MIN @ DAL,10/20/2018,L,48,136,44,84,52.4,14,27,51.9,34,40,85,6,27,33,23,17,10,3,30,-4
DET,DET @ CHI,10/20/2018,W,48,118,41,101,40.6,18,40,45,18,23,78.3,18,31,49,21,10,4,4,23,2
MIA,MIA vs. CHA,10/20/2018,L,48,112,41,89,46.1,11,34,32.4,19,27,70.4,12,37,49,21,16,4,11,27,-1
DAL,DAL vs. MIN,10/20/2018,W,48,140,49,98,50,17,50,34,25,34,73.5,15,27,42,29,16,8,8,28,4
CHI,CHI vs. DET,10/20/2018,L,48,116,44,87,50.6,7,21,33.3,21,26,80.8,5,36,41,26,11,4,3,20,-2
SAS,SAS @ POR,10/20/2018,L,48,108,42,100,42,13,30,43.3,11,14,78.6,15,25,40,29,6,5,4,17,-13
NYK,NYK vs. BOS,10/20/2018,L,48,101,36,87,41.4,12,35,34.3,17,27,63,11,35,46,23,16,8,1,25,-2
TOR,TOR @ WAS,10/20/2018,W,48,117,39,88,44.3,10,29,34.5,29,36,80.6,14,38,52,21,17,5,5,29,4
WAS,WAS vs. TOR,10/20/2018,L,48,113,37,89,41.6,13,39,33.3,26,32,81.3,9,28,37,20,11,11,9,27,-4
ORL,ORL @ PHI,10/20/2018,L,48,115,41,90,45.6,16,29,55.2,17,22,77.3,14,35,49,31,16,7,7,15,-1
IND,IND vs. BKN,10/20/2018,W,48,132,51,92,55.4,16,24,66.7,14,22,63.6,10,30,40,21,11,12,5,18,20
POR,POR vs. SAS,10/20/2018,W,48,121,45,84,53.6,15,32,46.9,16,19,84.2,8,38,46,24,12,5,3,14,13
MEM,MEM vs. ATL,10/19/2018,W,48,131,44,81,54.3,13,26,50,30,43,69.8,7,34,41,32,17,9,4,29,14
BKN,BKN vs. NYK,10/19/2018,W,48,107,37,75,49.3,12,30,40,21,24,87.5,12,43,55,22,22,2,6,23,2
GSW,GSW @ UTA,10/19/2018,W,48,124,49,87,56.3,10,19,52.6,16,18,88.9,8,35,43,27,16,10,6,23,1
ORL,ORL vs. CHA,10/19/2018,L,48,88,36,94,38.3,6,31,19.4,10,14,71.4,12,32,44,18,18,8,7,16,-32
SAC,SAC @ NOP,10/19/2018,L,48,129,50,96,52.1,10,25,40,19,26,73.1,9,30,39,24,13,6,2,26,-20
MIN,MIN vs. CLE,10/19/2018,W,48,131,44,87,50.6,10,25,40,33,35,94.3,9,31,40,28,14,9,7,21,8
CHA,CHA @ ORL,10/19/2018,W,48,120,43,92,46.7,17,38,44.7,17,20,85,12,43,55,32,16,6,4,17,32
TOR,TOR vs. BOS,10/19/2018,W,48,113,43,92,46.7,13,35,37.1,14,19,73.7,12,37,49,24,13,3,3,19,12
NYK,NYK @ BKN,10/19/2018,L,48,105,39,97,40.2,9,28,32.1,18,20,90,12,24,36,14,3,10,1,19,-2
BOS,BOS @ TOR,10/19/2018,L,48,101,40,99,40.4,14,36,38.9,7,10,70,16,33,49,29,16,4,6,27,-12
